Column,Data_Type,Identified_Type,Unique_Values,Missing_Count,Missing_Pct,Sample_Values
id,int64,numeric,351,0,0.0,"[1, 2, 3]"
Historical Period,object,categorical,14,0,0.0,"['Middle Ages', 'Early Modern', 'Antiquity']"
Time/Century,object,year/date,289,0,0.0,"['8th', '18th', '14th']"
Edition name,object,text,350,0,0.0,"['Digitale Edition der Handschrift Cod. Guelf. 64 Weiss.', 'The Thomas Gray Archive', 'A critical edition of the poetry of Dafydd ap Gwilym']"
URL,object,text,351,0,0.0,"['http://diglib.hab.de/edoc/ed000006/startx.htm', 'http://www.thomasgray.org/', 'http://www.dafyddapgwilym.net/']"
Scholarly,object,dummy,2,0,0.0,"['yes', 'no']"
Digital,object,dummy,2,0,0.0,"['yes', 'no']"
Edition,object,dummy,3,0,0.0,"['yes', 'no', 'not provided']"
Language,object,text,78,0,0.0,"['LAT', 'ENG; LAT; GRE', 'WEL']"
Writing support,object,text,92,0,0.0,"['Codex', 'Manuscript', 'Manuscript; Print']"
Begin date,object,year/date,39,0,0.0,"['2006', '2000', '2002']"
End date,object,year/date,35,0,0.0,"['2010', 'present', '2007']"
Manager or Editor,object,text,284,0,0.0,"['Torsten Schaßan', 'Alexander Huber', 'Alexander Roberts; Dafydd Johnston']"
Institution(s),object,text,224,0,0.0,"['Herzog August Bibliothek Wolfenbüttel', 'University of Oxford; SUB Göttingen', 'University of Swansea']"
Audience,object,text,59,0,0.0,"['not provided', 'Scholars', 'Students of Celtic Studies']"
Philological statement,object,dummy,4,0,0.0,"['partly', 'yes', 'no']"
Account of textual variance,object,dummy,4,0,0.0,"['yes', 'partly', 'not provided']"
Value of witnesses,object,categorical,5,1,0.3,"['yes', 'partly', 'no']"
XML-TEI Transcription,object,dummy,4,0,0.0,"['partly', 'yes', 'no']"
XML(-TEI) available to download,object,dummy,4,0,0.0,"['no', 'yes', 'not provided']"
Images,object,dummy,4,0,0.0,"['partly', 'yes', 'no']"
Zoom images,object,dummy,3,0,0.0,"['yes', 'no', 'not provided']"
"Image manipulation (brightness, rotation, etc.)",object,dummy,3,0,0.0,"['no', 'not provided', 'yes']"
Text-Image Linking,object,dummy,4,0,0.0,"['no', 'yes', 'not provided']"
Source Text Translation,object,text,21,0,0.0,"['no', 'ENG; GER; GLA; ITA; POR', 'ENG']"
Website language,object,text,45,0,0.0,"['GER', 'ENG', 'WEL; ENG']"
Glossary,object,dummy,3,0,0.0,"['no', 'yes', 'not provided']"
Indices,object,dummy,4,0,0.0,"['no', 'yes', 'not provided']"
String matching,object,dummy,3,0,0.0,"['no', 'yes', 'not provided']"
Advanced search,object,dummy,3,0,0.0,"['yes', 'no', 'not provided']"
Creative Commons License,object,dummy,3,0,0.0,"['no', 'yes', 'partly']"
Open source/Open access,object,categorical,6,0,0.0,"['yes', 'Open Access and Open Source (all data)', 'Open Access and Open Source (some data)']"
Linked Open Data,object,dummy,3,0,0.0,"['no', 'not provided', 'yes']"
API,object,dummy,3,0,0.0,"['no', 'yes', 'not provided']"
Crowdsourcing,object,dummy,4,0,0.0,"['no', 'yes', 'not provided']"
Feedback,object,dummy,4,0,0.0,"['no', 'yes', 'not provided']"
Technological statement,object,dummy,4,0,0.0,"['no', 'yes', 'partly']"
Links to ext. resources,object,dummy,2,0,0.0,"['yes', 'no']"
OCR or keyed?,object,categorical,6,0,0.0,"['Keyed', 'Keyed; OCR', 'not provided']"
Mobile friendly/application,object,dummy,2,0,0.0,"['no', 'yes']"
Print-friendly view,object,categorical,6,0,0.0,"['not provided', 'no', 'yes']"
Print facsimile (complementary output),object,categorical,5,0,0.0,"['not provided', 'no', 'yes']"
Repository of source material(s),object,text,166,0,0.0,"['Herzog August Bibliothek Wolfenbüttel', 'Various', 'Various (Dublin, Paris, Rouen, Arras, Salisbury, London, Oxford)']"
Place of origin of source material(s),object,text,122,0,0.0,"['Italy', 'Various', 'Brogynin, Penrhyn-coch']"
Sponsor/Funding body,object,text,137,1,0.3,"['Gerda Henkel Stiftung', 'Institutional funding', 'AHRC']"
Budget (rough),object,text,30,0,0.0,"['not provided', '£204,283.00', '€10,000']"
Infrastructure,object,text,149,0,0.0,"['XML; XSLT', 'HTML5; CSS; jQuery; custom built', 'Javascript; Perl; Xmetal; Microsoft Active Server Pages (ASP); Microsoft SQL Server 2000; Anastasia; GroveMaker']"
Current availability,object,dummy,2,0,0.0,"['yes', 'no']"
RIDE review,object,categorical,10,0,0.0,"['no', 'http://ride.i-d-e.de/issues/issue-1/codex-sinaiticus/', 'http://ride.i-d-e.de/issues/issue-2/becerro-galicano/']"
Sahle Catalog,object,categorical,6,0,0.0,"['yes', 'no', 'not provided']"
Citation,object,dummy,3,0,0.0,"['not provided', 'yes', 'no']"
Handle-PID,object,text,337,6,1.7,"['21.11115/0000-000B-D080-8', '21.11115/0000-000B-D081-7', '21.11115/0000-000B-D082-6']"
