Column,Missing_Count,Missing_Pct
Handle-PID,6,1.7
Value of witnesses,1,0.3
Sponsor/Funding body,1,0.3
id,0,0.0
Edition name,0,0.0
URL,0,0.0
Digital,0,0.0
Scholarly,0,0.0
Language,0,0.0
Writing support,0,0.0
Begin date,0,0.0
Edition,0,0.0
End date,0,0.0
Manager or Editor,0,0.0
Audience,0,0.0
Institution(s),0,0.0
Philological statement,0,0.0
Account of textual variance,0,0.0
Time/Century,0,0.0
Historical Period,0,0.0
XML(-TEI) available to download,0,0.0
XML-TEI Transcription,0,0.0
Images,0,0.0
Zoom images,0,0.0
Source Text Translation,0,0.0
Website language,0,0.0
"Image manipulation (brightness, rotation, etc.)",0,0.0
Text-Image Linking,0,0.0
String matching,0,0.0
Advanced search,0,0.0
Creative Commons License,0,0.0
Open source/Open access,0,0.0
Linked Open Data,0,0.0
API,0,0.0
Glossary,0,0.0
Indices,0,0.0
Feedback,0,0.0
Crowdsourcing,0,0.0
Technological statement,0,0.0
Links to ext. resources,0,0.0
Print-friendly view,0,0.0
Print facsimile (complementary output),0,0.0
OCR or keyed?,0,0.0
Mobile friendly/application,0,0.0
Place of origin of source material(s),0,0.0
Repository of source material(s),0,0.0
Infrastructure,0,0.0
Budget (rough),0,0.0
Current availability,0,0.0
RIDE review,0,0.0
Sahle Catalog,0,0.0
Citation,0,0.0
