id,Edition name,Author Name (of Original Work),Philosophical/Artistic Direction,Content Description
1,Digitale Edition der Handschrift Cod. Guelf. 64 Weiss.,Not specified (Anonymous),Medieval Theological/Scholarly,"A digital facsimile and transcription of the Weissenburg manuscript, a significant 8th-century collection of catechetical texts, creeds, and glossaries."
2,The Thomas Gray Archive,Thomas Gray,"Pre-Romanticism, Graveyard Poetry","A comprehensive archive of the 18th-century poet's complete poems, selected prose, and correspondence, including his famous ""Elegy Written in a Country Churchyard."""
3,A critical edition of the poetry of Dafydd ap Gwilym,Dafydd ap Gwilym,Medieval Welsh Poetry,"A scholarly collection of the complete works of the 14th-century Welsh bard, known for his innovative nature poetry and love lyrics."
4,Saint Patrick's Confessio,Saint Patrick,Christian Hagiography,"The autobiographical writings of Ireland's patron saint, detailing his captivity, escape, and missionary work, presented in Latin with translations."
5,Liber Matriculae - Il libro della matricola dei notai di Vercelli,Not specified (Notaries),Legal/Administrative Records,"A digital edition of the register of notaries from Vercelli, offering insights into medieval Italian legal administration and professional organization."
6,Correspondance de Pierre Bayle,Pierre Bayle,Early Enlightenment Philosophy,"The extensive correspondence of the French philosopher, covering theological debates, literary criticism, and the circulation of ideas in the Republic of Letters."
7,Vindolanda Tablets Online,Not specified (Roman Soldiers),Roman Military Epigraphy,"Thin wood tablets serving as the oldest surviving handwritten documents in Britain, revealing details of Roman military life and administration."
8,Vindolanda Tablets Online II,Not specified (Roman Soldiers),Roman Military Epigraphy,"A continuation of the project digitizing further discoveries of wooden tablets from the Vindolanda fort, expanding the corpus of Roman military correspondence."
9,"Bérardier de Bataut, Essai sur le récit, Entretiens sur la manière de raconter",Jean-Baptiste Bérardier de Bataut,18th Century Rhetoric,"A critical edition of an 18th-century treatise on the art of storytelling and narrative theory, exploring the mechanics of oral and written recitals."
10,Codex Sinaiticus,Not specified (Biblical Scribes),Biblical Text (Septuagint/NT),"One of the oldest and most important biblical manuscripts, containing the Greek Old Testament (Septuagint) and the complete New Testament."
11,"The Saint-Aubins ""Book of Arses"": The Livre de Caricatures tant bonnes que mauvaises",Gabriel de Saint-Aubin,"Rococo Art, Caricature","A digitized sketchbook by the 18th-century artist featuring satirical and humorous caricatures, offering a rare glimpse into the irreverent side of Rococo art."
12,Catullus Online,Gaius Valerius Catullus,Latin Lyric Poetry,"A critical repertory of conjectures on the text of Catullus's poems, compiling scholarly emendations and textual variants from the Renaissance to the present."
13,Digital edition of the Old Church Slavonic Codex Suprasliensis,Not specified (Scribes),Old Church Slavonic Hagiography,"A digital reunification of the 10th-century Codex Suprasliensis, the largest surviving Old Church Slavonic manuscript, containing saints' lives and homilies."
14,Becerro Galicano of San Millán de la Cogolla,Not specified (Monks),Medieval Cartulary,"A digital edition of the cartulary from the San Millán monastery, a crucial source for medieval Spanish history, linguistics, and paleography."
15,The Durham Liber Vitae Project,Not specified (Monks),Medieval Ecclesiastical Records,"A comprehensive edition of the ""Book of Life"" from Durham Cathedral, listing the names of thousands of benefactors and community members from the 9th to the 16th century."
16,Samuel Beckett Digital Manuscript Project,Samuel Beckett,Modernist/Absurdist Drama,"A genetic edition of Beckett's works, presenting digital facsimiles and transcriptions of his manuscripts to trace the evolution of his texts."
17,Euripides Scholia,Not specified (Scholars),Classical Greek Commentary,"An edition of the ancient and medieval marginal commentaries (scholia) on the plays of Euripides, providing essential context for the interpretation of Greek tragedy."
18,Heimskringla,Snorri Sturluson,Old Norse Sagas,"A collection of sagas about the Norwegian kings, written in Old Norse, blending history, genealogy, and legend."
19,Partonopeus de Blois,Not specified (Anonymous),Medieval French Romance,"An electronic edition of the 12th-century Old French romance Partonopeus de Blois, a hybrid of Arthurian legend and classical mythology."
20,Henry III Fine Rolls Project,Not specified (Royal Clerks),Medieval Administrative Records,"A calendar and edition of the Fine Rolls of Henry III, recording payments made to the King for concessions and offering detailed insights into 13th-century governance."
21,Die Briefwechsel der Mathematiker Bernoulli,Bernoulli family,Early Modern Science,"The collected correspondence of the famous Bernoulli family of mathematicians, documenting the development of calculus and physics in the 17th and 18th centuries."
22,La Famiglia dell'Antiquario,Carlo Goldoni,18th Century Italian Comedy,"A digital text of Goldoni's comedy about an obsessive collector, highlighting the conflict between old-world obsession and practical family life."
23,Die Glossen Ekkeharts IV. im Codex Sangallensis 621,Ekkehard IV of St. Gall,Medieval Scholarly Commentary,"An edition of the interlinear and marginal glosses by Ekkehard IV on the text of Orosius, serving as a key source for medieval education and Latinity."
24,Inscriptions of the Northern Black Sea (IOSPE),Not specified (Inscribers),Classical Epigraphy,"A corpus of ancient Greek and Latin inscriptions found on the northern coast of the Black Sea, documenting the history of the Bosporan Kingdom and Greek colonies."
25,La Entretenida Digital Edition,Miguel de Cervantes,Spanish Golden Age Theater,"A multimedia edition of Cervantes' play La Entretenida, featuring the text alongside performance materials and scholarly commentary."
26,A Survey of the Cities of London and Westminster by John Strype,John Strype,Early Modern Urban History,"A digital version of Strype's 1720 update to Stow's survey, providing a detailed topographical and historical description of early 18th-century London."
27,Letters of William Herle Project,William Herle,Early Modern Political Correspondence,"The correspondence of an Elizabethan intelligencer and diplomat, offering a behind-the-scenes look at 16th-century espionage and politics."
28,The Diplomatic Correspondence of Thomas Bodley,Thomas Bodley,Early Modern Diplomacy,The letters of the founder of the Bodleian Library during his time as Queen Elizabeth's ambassador to the Netherlands.
29,The Hooke Folio Online,Robert Hooke,Early Modern Science,"A transcription of the recently discovered folio of Robert Hooke, containing minutes of the Royal Society and personal scientific notes."
30,The Workdiaries of Robert Boyle,Robert Boyle,Early Modern Science,"A digital edition of the laboratory notebooks and workdiaries of the father of modern chemistry, documenting his experiments and thought processes."
31,Jonathan Swift Archive,Jonathan Swift,Augustan Satire,"An archive containing transcriptions and facsimiles of Swift's major prose works, including Gulliver's Travels and A Tale of a Tub."
32,The St Gall Priscian Glosses,Not specified (Irish Scholars),Medieval Linguistics,"A database of the thousands of Old Irish glosses found in the St. Gall manuscript of Priscian's Latin grammar, a crucial source for Celtic philology."
33,Nietzsche Source,Friedrich Nietzsche,19th-Century Philosophy,"A comprehensive digital archive of Nietzsche's complete works, posthumous fragments, and correspondence, based on the critical Colli-Montinari edition."
34,Early Irish Glossaries Database,Not specified (Irish Scholars),Medieval Lexicography,"A searchable database of medieval Irish glossaries (Sanas Cormaic, O'Mulconry's Glossary), which explain difficult or archaic words in early Irish literature."
35,The Holinshed Project,Raphael Holinshed,Early Modern History,"A parallel text edition of the 1577 and 1587 editions of Holinshed's Chronicles, the primary source for many of Shakespeare's history plays."
36,Alciato's Book of Emblems,Andrea Alciato,Renaissance Emblem Literature,"A comparative edition of the various printings of Alciato's Emblematum Liber, the foundational text of the Renaissance emblem tradition."
37,Electronic Variorum Edition of the Quixote,Miguel de Cervantes,Spanish Golden Age Novel,"A digital variorum edition of Don Quixote, allowing users to compare the text of the first editions with subsequent significant printings."
38,Corpus Rhythmorum Musicum (SAEC. IV-IX) I,Not specified (Various),Medieval Latin Poetry/Music,"A critical edition of non-liturgical Latin songs from late antiquity and the early Middle Ages, focusing on the interplay between text and music."
39,The Book of Ben Sira,Jesus ben Sira,Biblical Wisdom Literature,"A project presenting the Hebrew manuscripts of the Book of Ben Sira (Ecclesiasticus) found in the Cairo Genizah and Masada, alongside translations."
40,Christine de Pizan: The Making of the Queen's Manuscript,Christine de Pizan,Medieval Courtly Literature,"A digital facsimile and analysis of Harley MS 4431, the collected works of Christine de Pizan presented to Queen Isabeau of Bavaria."
