id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID,Scholarly_bin,Digital_bin,Edition_bin,Edition_not_provided,Philological_statement_no,Philological_statement_not_provided,Philological_statement_partly,Philological_statement_yes,Account_of_textual_variance_no,Account_of_textual_variance_not_provided,Account_of_textual_variance_partly,Account_of_textual_variance_yes,XML_TEI_Transcription_no,XML_TEI_Transcription_not_provided,XML_TEI_Transcription_partly,XML_TEI_Transcription_yes,XML__TEI__available_to_download_no,XML__TEI__available_to_download_not_provided,XML__TEI__available_to_download_partly,XML__TEI__available_to_download_yes,Images_no,Images_not_provided,Images_partly,Images_yes,Zoom_images_bin,Zoom_images_not_provided,Image_manipulation__brightness__rotation__etc___bin,Image_manipulation__brightness__rotation__etc___not_provided,Text_Image_Linking_no,Text_Image_Linking_not_provided,Text_Image_Linking_partly,Text_Image_Linking_yes,Glossary_bin,Glossary_not_provided,Indices_no,Indices_not_provided,Indices_partly,Indices_yes,String_matching_bin,String_matching_not_provided,Advanced_search_bin,Advanced_search_not_provided,Creative_Commons_License_no,Creative_Commons_License_partly,Creative_Commons_License_yes,Linked_Open_Data_bin,Linked_Open_Data_not_provided,API_bin,API_not_provided,Crowdsourcing_no,Crowdsourcing_not_provided,Crowdsourcing_partly,Crowdsourcing_yes,Feedback_no,Feedback_not_provided,Feedback_partly,Feedback_yes,Technological_statement_no,Technological_statement_not_provided,Technological_statement_partly,Technological_statement_yes,Links to ext. resources_bin,Mobile friendly/application_bin,Current availability_bin,Citation_bin,Citation_not_provided,Historical_Period_Antiquity,Historical_Period_Antiquity__Middle_Ages,Historical_Period_Contemporary,Historical_Period_Early_Modern,Historical_Period_Early_Modern__Long_Nineteenth_Century,Historical_Period_Early_Modern__Long_Nineteenth_Century__Modern__Contemporary,Historical_Period_Early_Modern_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century__Modern,Historical_Period_Long_Nineteenth_century,Historical_Period_Middle_Ages,Historical_Period_Middle_Ages__Early_Modern,Historical_Period_Modern,Historical_Period_Modern__Contemporary,Value_of_witnesses_0_5__1,Value_of_witnesses_no,Value_of_witnesses_not_provided,Value_of_witnesses_partly,Value_of_witnesses_yes,Open_source_Open_access_Open_Access_and_Open_Source__all_data,Open_source_Open_access_Open_Access_and_Open_Source__some_data,Open_source_Open_access_no,Open_source_Open_access_not_provided,Open_source_Open_access_partly,Open_source_Open_access_yes,OCR_or_keyed__Keyed,OCR_or_keyed__Keyed__OCR,OCR_or_keyed__OCR,OCR_or_keyed__OCR__Keyed,OCR_or_keyed__OCR_Keyed,OCR_or_keyed__not_provided,Print_friendly_view_forthcoming,Print_friendly_view_no,Print_friendly_view_not_provided,Print_friendly_view_partly,Print_friendly_view_trial,Print_friendly_view_yes,Print_facsimile__complementary_output__forthcoming,Print_facsimile__complementary_output__no,Print_facsimile__complementary_output__not_provided,Print_facsimile__complementary_output__partly,Print_facsimile__complementary_output__yes,RIDE_review_10_18716_ride_a_13_4,RIDE_review_http___ride_i_d_e_de_issues_issue_1_codex_sinaiticus,RIDE_review_http___ride_i_d_e_de_issues_issue_1_nietzschesource,RIDE_review_http___ride_i_d_e_de_issues_issue_2_becerro_galicano,RIDE_review_http___ride_i_d_e_de_issues_issue_2_fleischmann_diaries,RIDE_review_http___ride_i_d_e_de_issues_issue_3_godwin,RIDE_review_http___ride_i_d_e_de_issues_issue_5_jane_austens_fiction_manuscripts,RIDE_review_https___ride_i_d_e_de_issues_issue_17_okopenko,RIDE_review_https___ride_i_d_e_de_issues_issue_5_damaboba,RIDE_review_no,Sahle_Catalog_https___digitale_edition_de_e613,Sahle_Catalog_https___digitale_edition_de_e820,Sahle_Catalog_https___digitale_edition_de_e825,Sahle_Catalog_no,Sahle_Catalog_not_provided,Sahle_Catalog_yes,Historical_Period_code,period_start,period_end,author,phil_direction,description,keywords,authoritativeness_score,renown_score
1,Middle Ages,8th,Digitale Edition der Handschrift Cod. Guelf. 64 Weiss.,http://diglib.hab.de/edoc/ed000006/startx.htm,yes,yes,yes,LAT,Codex,2006,2010,Torsten Schaßan,Herzog August Bibliothek Wolfenbüttel,not provided,partly,yes,yes,partly,no,partly,yes,no,no,no,GER,no,no,no,yes,no,yes,no,no,no,no,no,yes,Keyed,no,not provided,not provided,Herzog August Bibliothek Wolfenbüttel,Italy,Gerda Henkel Stiftung,not provided,XML; XSLT,yes,no,yes,not provided,21.11115/0000-000B-D080-8,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,701,800,Not specified (Anonymous),Medieval Theological/Scholarly,"A digital facsimile and transcription of the Weissenburg manuscript, a significant 8th-century collection of catechetical texts, creeds, and glossaries.",Manuscript # Theology # Liturgy # Philology # Religion,33.0,10.0
2,Early Modern,18th,The Thomas Gray Archive,http://www.thomasgray.org/,yes,yes,no,ENG; LAT; GRE,Manuscript,2000,present,Alexander Huber,University of Oxford; SUB Göttingen,Scholars,yes,yes,yes,yes,yes,yes,no,no,no,no,ENG,yes,yes,yes,yes,no,Open Access and Open Source (all data),no,no,yes,yes,yes,yes,Keyed,no,no,no,Various,Various,Institutional funding,not provided,HTML5; CSS; jQuery; custom built,yes,no,yes,not provided,21.11115/0000-000B-D081-7,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1701,1800,Thomas Gray,"Pre-Romanticism, Graveyard Poetry","A comprehensive archive of the 18th-century poet's complete poems, selected prose, and correspondence, including his famous ""Elegy Written in a Country Churchyard.""",Poetry # Correspondence # Criticism # Biography # Philology,35.0,38.0
3,Middle Ages,14th,A critical edition of the poetry of Dafydd ap Gwilym,http://www.dafyddapgwilym.net/,yes,yes,yes,WEL,Manuscript,2002,2007,Alexander Roberts; Dafydd Johnston,University of Swansea,Students of Celtic Studies,yes,yes,yes,yes,no,yes,yes,no,no,no,WEL; ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,yes,not provided,Various,"Brogynin, Penrhyn-coch",AHRC,not provided,Javascript; Perl; Xmetal; Microsoft Active Server Pages (ASP); Microsoft SQL Server 2000; Anastasia; GroveMaker,yes,no,yes,not provided,21.11115/0000-000B-D082-6,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1301,1400,Dafydd ap Gwilym,Medieval Welsh Poetry,"A scholarly collection of the complete works of the 14th-century Welsh bard, known for his innovative nature poetry and love lyrics.",Poetry # Nature # Manuscript # Philology # Song,30.0,25.0
4,Antiquity,5th,Saint Patrick's Confessio,http://www.confessio.ie/#,yes,yes,yes,LAT,Manuscript; Print,2008,2011,Franz Fischer; Anthony Harvey,Royal Irish Academy,Scholars; general public,yes,partly,partly,yes,yes,yes,yes,no,no,ENG; GER; GLA; ITA; POR,ENG,yes,no,yes,no,yes,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed; OCR,no,no,yes,"Various (Dublin, Paris, Rouen, Arras, Salisbury, London, Oxford)",Ireland,Higher Education Authority; European Regional Development Fund,not provided,Drupal,yes,no,yes,not provided,21.11115/0000-000B-D083-5,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,401,500,Saint Patrick,Christian Hagiography,"The autobiographical writings of Ireland's patron saint, detailing his captivity, escape, and missionary work, presented in Latin with translations.",Religion # Biography # Hagiography # Theology # History,18.0,85.0
5,Middle Ages; Early Modern,14th-18th,Liber Matriculae - Il libro della matricola dei notai di Vercelli,http://scrineum.unipv.it/LM/home.html,yes,yes,yes,LAT,Manuscript,2000,not provided,Antonio Olivieri,Università degli Studi di Pavia,not provided,yes,yes,yes,no,no,yes,yes,no,no,no,ITA,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Archivio Storico Comunale di Vercelli,Vercelli,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D084-4,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11,1301,1800,Not specified (Notaries),Legal/Administrative Records,"A digital edition of the register of notaries from Vercelli, offering insights into medieval Italian legal administration and professional organization.",Law # Administration # History # Manuscript # Sociology,15.0,12.0
6,Early Modern,1662-1686,Correspondance de Pierre Bayle,http://bayle-correspondance.univ-st-etienne.fr/?lang=fr,yes,yes,yes,FRE,Manuscript; Letter,not provided,not provided,Antony McKenna,Université Jean Monnet Saint-Etienne; Université de Montpellier 3,not provided,partly,not provided,yes,yes,no,yes,no,no,no,no,FRE; ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,not provided,not provided,France,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D085-3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1662,1686,Pierre Bayle,Early Enlightenment Philosophy,"The extensive correspondence of the French philosopher, covering theological debates, literary criticism, and the circulation of ideas in the Republic of Letters.",Philosophy # Correspondence # Theology # Criticism # History,7.0,40.0
7,Antiquity,1st-2nd,Vindolanda Tablets Online,http://vindolanda.csad.ox.ac.uk/index.shtml,yes,yes,yes,LAT,Tablet,2001,2003,Charles Crowther; Alan Bowman,University of Oxford,not provided,yes,yes,yes,no,no,yes,yes,no,no,no,ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,yes,not provided,The British Museum,Vindolanda,Andrew W. Mellon Foundation,not provided,PowerMacintosh server; 4D 6.8; WebSTAR V5; Apache XALAN; iSeeMedia Zoom Image Server; Macromedia Dreamweaver; Adobe ImageReady; XML,yes,no,yes,not provided,21.11115/0000-000B-D086-2,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,200,Not specified (Roman Soldiers),Roman Military Epigraphy,"Thin wood tablets serving as the oldest surviving handwritten documents in Britain, revealing details of Roman military life and administration.",Epigraphy # War # Archaeology # Administration # History,57.0,70.0
8,Antiquity,1st-2nd,Vindolanda Tablets Online II,http://vto2.classics.ox.ac.uk/,yes,yes,yes,LAT,Tablet,not provided,not provided,Charles Crowther; Alan Bowman,University of Oxford,Scholars; students; general public,partly,yes,yes,yes,yes,yes,yes,no,no,ENG,ENG,no,yes,yes,yes,no,Open Access and Open Source (all data),no,yes,no,yes,yes,no,Keyed,no,yes,no,The British Museum,Vindolanda,Andrew W. Mellon Foundation,not provided,APPELLO Web Service; Wordpress; AJAX; REST Web Service,no,no,no,not provided,21.11115/0000-000B-D087-1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,200,Not specified (Roman Soldiers),Roman Military Epigraphy,"A continuation of the project digitizing further discoveries of wooden tablets from the Vindolanda fort, expanding the corpus of Roman military correspondence.",Epigraphy # War # Archaeology # Administration # History,55.0,60.0
9,Early Modern,1776,"Bérardier de Bataut, Essai sur le récit, Entretiens sur la manière de raconter",http://www.berardier.org/,yes,yes,yes,FRE,Print,2006,present,Christof Schöch,University of Würzburg,not provided,yes,no,no,yes,yes,no,no,no,no,no,FRE,no,no,no,no,yes,Open Access and Open Source (all data),no,no,no,yes,yes,no,Keyed,no,yes,not provided,not provided,France,not provided,not provided,Drupal; XML-TEI,yes,no,yes,not provided,21.11115/0000-000B-D088-0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1776,1776,Jean-Baptiste Bérardier de Bataut,18th Century Rhetoric,"A critical edition of an 18th-century treatise on the art of storytelling and narrative theory, exploring the mechanics of oral and written recitals.",Rhetoric # Criticism # Philosophy # Education # Literature,12.0,15.0
10,Antiquity,Mid 4th,Codex Sinaiticus,http://codexsinaiticus.org/en/,yes,yes,yes,GRC,Codex,2003,present,Claire Breay; Leander Seige; Father Justin; Ekaterina Krushelnitskaya,British Library; National Library of Russia; St. Catherine's Monastery; Leipzig University Library,Global audience,yes,not provided,yes,yes,yes,yes,yes,no,yes,partly,ENG; GER; GRE; RUS,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,Keyed,no,not provided,not provided,British Library; Leipzig University Library; National Library of Russia; St. Catherine’s Monastery,"Saint Catherine's Monastery. Mount Sinai, Egypt",AHRC; Deutsche Forschungsgemeinschaft; Stavros Niarchos Foundation; A.G. Leventis Foundation,not provided,HTML; CSS; JavaScript; AJAX,yes,http://ride.i-d-e.de/issues/issue-1/codex-sinaiticus/,yes,not provided,21.11115/0000-000B-D089-F,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,350,350,Not specified (Biblical Scribes),Biblical Text (Septuagint/NT),"One of the oldest and most important biblical manuscripts, containing the Greek Old Testament (Septuagint) and the complete New Testament.",Theology # Manuscript # Religion # Philology # History,6.0,95.0
